Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
1,1,054.0 056.0,19-4903CR-HY-060-0930-05400560-0000A-3,0,10.50000,33.44000,,25.64900,,,,3,1,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.000000,10.50000,10.50000,33.44000,25.64000,233.0000,0.000000,,,,,,,,,,0,,,,,,,,
1,2,054.0 056.0,19-4903CR-HY-060-0930-05400560-0008A-3,8,10.46000,33.44000,,25.65600,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,8.000000,10.46000,10.46000,33.44000,25.65000,232.5000,0.010000,,,,,,,,,,8,,,,,,,,
1,3,054.0 056.0,19-4903CR-HY-060-0930-05400560-0010A-7,10,10.46000,33.43700,,25.65400,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.00000,10.46000,10.46000,33.43700,25.65000,232.8000,0.020000,,,,,,,,,,10,,,,,,,,
1,4,054.0 056.0,19-4903CR-HY-060-0930-05400560-0019A-3,19,10.45000,33.42000,,25.64300,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,19.00000,10.45000,10.45000,33.42000,25.64000,234.1000,0.040000,,,,,,,,,,19,,,,,,,,
1,5,054.0 056.0,19-4903CR-HY-060-0930-05400560-0020A-7,20,10.45000,33.42100,,25.64300,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20.00000,10.45000,10.45000,33.42100,25.64000,234.0000,0.040000,,,,,,,,,,20,,,,,,,,
1,6,054.0 056.0,19-4903CR-HY-060-0930-05400560-0030A-7,30,10.45000,33.43100,,25.65100,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30.00000,10.45000,10.45000,33.43100,25.65000,233.5000,0.070000,,,,,,,,,,30,,,,,,,,
1,7,054.0 056.0,19-4903CR-HY-060-0930-05400560-0039A-3,39,10.45000,33.44000,,25.65800,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,39.00000,10.45000,10.45000,33.44000,25.65000,233.0000,0.090000,,,,,,,,,,39,,,,,,,,
1,8,054.0 056.0,19-4903CR-HY-060-0930-05400560-0050A-7,50,10.24000,33.42400,,25.68200,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50.00000,10.24000,10.23000,33.42400,25.68000,231.0000,0.110000,,,,,,,,,,50,,,,,,,,
1,9,054.0 056.0,19-4903CR-HY-060-0930-05400560-0058A-3,58,10.06000,33.42000,,25.71000,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,58.00000,10.06000,10.05000,33.42000,25.71000,228.5000,0.130000,,,,,,,,,,58,,,,,,,,
1,10,054.0 056.0,19-4903CR-HY-060-0930-05400560-0075A-7,75,9.860000,33.49400,,25.80100,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75.00000,9.860000,9.850000,33.49400,25.80000,220.1000,0.170000,,,,,,,,,,75,,,,,,,,
