CLASS,FlowAccumul,FlowLength,GeneralCurv,PlanCurvatu,ProfileCurv,Slope,TRI,TWI,LSI
1,1346.2303467,323.2244873,-0.0255999994,0.0016241611,-0.0095128007,27.543670654,4.6368093491,2.7744371891,1.3552689552
1,223.28433228,49.480323792,0.0255999994,0.1414213628,0.004777052,3.2376880646,0.7071067691,4.4769234657,-4.1824727058
1,3400.8786621,508.67483521,-0.0127999997,-0.0228268821,-0.0025313173,9.3651580811,1.5,3.3670578003,-0.5828107595
0,1706.901001,66.939170837,0,-0.0319820158,0.0061362218,11.527973175,1.8708287477,4.2705807686,-6.4460196495
0,962.68743896,172.05630493,0,-0.0282842703,0.0031395287,6.4548301697,1,4.0920376778,-6.4460196495
1,833.02062988,71.597755432,0,-0.0047140452,0.0013585975,18.74779129,3,3.1088545322,0.7803304195
1,1328.7784424,438.15194702,-0.0768000036,-0.0283100884,-0.0099557303,35.329082489,6.4420495033,2.7004678249,-2.3043210506
0,1700.7764893,199.24397278,0.0127999997,0,0.0057149199,15.642246246,2.5,3.4522564411,0.5977193117
1,410.03451538,83.678977966,0,0,0,4.5739212036,0.7071067691,3.9567716122,-1.5992741585
1,445.07730103,409.13659668,0.0384000018,0.0291474964,0.0111073209,13.674945831,2.291287899,2.9081864357,-1.0439485312
1,1019.4428101,112.69187164,-0.0127999997,-0.0116376812,-0.0017412117,20.243055344,3.2787191868,3.0719544888,1.4077619314
1,1461.4815674,212.75125122,-0.0255999994,-0.0088543771,-0.0096216928,14.196947098,2.3452079296,3.3972303867,3.3127486706
1,2351.3005371,178.0565033,-0.0255999994,-0.0282842703,-0.0042766687,15.793169022,2.5495097637,3.4746956825,1.1446615458
1,813.41223145,149.25563049,-0.0127999997,0,-0.0057149199,15.642246246,2.5,2.8572361469,1.8243265152
1,2254.7016602,162.34657288,-0.0127999997,-0.0281600002,-0.0007241211,11.309932709,1.8027756214,4.0608820915,0.1430794895
0,545.67028809,51.351474762,0.0127999997,0,0.006264207,6.8427734375,1.1180340052,3.7084386349,-5.0676865578
1,553.14111328,168.61601257,0,0.0056568542,-0.0014255563,15.793169022,2.5495097637,2.7168629169,-0.1738886237
0,156.25,0,0.0127999997,0,0.0063846707,2.290610075,0.5,4.7668027878,-1.310578227
0,312.5,15.48934269,0,0,0,4.5739212036,0.7071067691,4.6370205879,-4.3539843559
1,1200.8293457,610.41070557,-0.0127999997,-0.0036567515,-0.0049667563,14.366056442,2.291287899,3.0736980438,1.6421060562
